Manufacturer,Manufacturer Color,Manufacturer Color Number,glueboss color name,Glue Boss Color Number,glueboss color volusion id,transparency,red,green,blue,transparency Rating,Text Color 0black 1white,Color Status
Corian,Adobe,0,Adobe,4608,4608,0,0,0,0,0,0,Primary
Wilsonart,Maple Harvest,9106CS,Adobe,4608,4608,0,0,0,0,0,0,Primary
LG HiMacs,Karoo,0,AIA Boulder,4810,4810,0,0,0,0,0,0,Primary
LG HiMacs,Nubian,0,AIA Boulder,4810,4810,0,0,0,0,0,0,Primary
Pelican Quartz,Pebble Creek,0,Aluminum,4642,4642,0,0,0,0,0,0,Primary
Quartz Master,Silver Star Grey,QM3009,Aluminum,4642,4642,0,0,0,0,0,0,Primary
Wilsonart,Zen Grey,9115GS,Aluminum,4642,4642,0,0,0,0,0,0,Primary
Wilsonart Quartz,Arlington,Q1005,Aluminum,4642,4642,0,0,0,0,0,0,Primary
Affinity,Bisque,ES-03,Antique,4109,4109,97,255,247,240,97,0,Primary
Corian,Vanilla,0,Antique,4109,4109,97,255,247,240,97,0,Primary
Formica,Silk,107,Antique,4109,4109,97,255,247,240,97,0,Primary
Wilsonart,Antique White,1572SL,Antique,4109,4109,97,255,247,240,97,0,Primary
Avonite,Green Apple,F1-8254,Apple,4907,4907,0,0,0,0,0,0,Primary
Riverstone,Lunar Eclipse,0,Ash,4623,4623,91,46,40,17,91,1,Primary
Wilsonart,Clouded,9107CS,Ash,4623,4623,91,46,40,17,91,1,Primary
Allen & Roth Quartz,Kenai Red,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Avonite,Chocolate Silk,K3-8342,Auburn,4330,4330,100,71,58,57,100,1,Primary
Caesarstone,Copper Canyon,9480,Auburn,4330,4330,100,71,58,57,100,1,Primary
Cambria,Burnbury,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Cambria,Carmarthen Brown,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Corian,Cocoa Brown,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Corian,Ruby,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Dekton,Kadum,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Hanstone,Maroon,RS323,Auburn,4330,4330,100,71,58,57,100,1,Primary
LG Viatera,Columbia,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Silestone,Satori,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Zodiaq,Marrone Emperador,0,Auburn,4330,4330,100,71,58,57,100,1,Primary
Avonite,Azul,F1-8284,Azul,4911,4911,0,0,0,0,0,0,Primary
Affinity,Asea Stone,SL-58,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Autumn Ridge,SL-88,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Frozen Peak,SL-95,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Giallo,MJ-350,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Harmony,MJ-360,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Natural Element,SL-63,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Necessity,ES-20,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Petrified Pumice,SL-90,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Primal Quatrz,SL-92,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,River Rock,SL-72,Beach,4230,4230,100,208,186,148,100,0,Primary
Affinity,Speckled Concrete,SL-96,Beach,4230,4230,100,208,186,148,100,0,Primary
Allen & Roth Quartz,Chelan,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Allen & Roth Quartz,Kamari,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Allen & Roth Quartz,Wheat,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Café au Lait,F1-8272,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Casablanca,F1-9137,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Cordoba,F1-9234,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Ginger,F1-7551,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Jicama,K1-6625,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Jurassic,F1-7711,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Saltando,F1-8820,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Sandpiper,K1-6200,Beach,4230,4230,100,208,186,148,100,0,Primary
Avonite,Sandstorm,F1-9036,Beach,4230,4230,100,208,186,148,100,0,Primary
Caesarstone,Baja,3200,Beach,4230,4230,100,208,186,148,100,0,Primary
Caesarstone,Savannah,9205,Beach,4230,4230,100,208,186,148,100,0,Primary
Cambria,Aragon,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Cambria,Cambrian Gold,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Cambria,Sutton,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Cambria,Tenby Cream,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Cambria,Victoria,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Corian,Burled Beach,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Corinthian,Sante Fe,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Cosmos,Caramel Lux,7220,Beach,4230,4230,100,208,186,148,100,0,Primary
Cosmos,Cobblestone,3903,Beach,4230,4230,100,208,186,148,100,0,Primary
Cosmos,Miele,8001,Beach,4230,4230,100,208,186,148,100,0,Primary
Cosmos,Sundance,2004,Beach,4230,4230,100,208,186,148,100,0,Primary
EOS,Galveston,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Formica,E Cafe,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Formica,Natural Concrete,603,Beach,4230,4230,100,208,186,148,100,0,Primary
Hanex,Silkwood,BL-203,Beach,4230,4230,100,208,186,148,100,0,Primary
Hanstone,Sand Dune,RC102,Beach,4230,4230,100,208,186,148,100,0,Primary
Hanstone,Seaside,RS461,Beach,4230,4230,100,208,186,148,100,0,Primary
Hanstone,Vanilla Java,RS313,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Amberglow,VE11,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Barley,GT937,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Cosmos,T002,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Hazelnut Shell,GT934,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Ivory Quartz,G30,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Poplar,G711R,Beach,4230,4230,100,208,186,148,100,0,Primary
LG HiMacs,Saturn,T003,Beach,4230,4230,100,208,186,148,100,0,Primary
LG Viatera,Calico,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Livingstone,Opus,0,Beach,4230,4230,100,208,186,148,100,0,Primary
Meganite,San Rafael Stone,501,Beach,4230,4230,100,208,186,148,100,0,Primary
Meganite,Surfin Safari,419,Beach,4230,4230,100,208,186,148,100,0,Primary
Meganite,Ultimate Boulder,805AR,Beach,4230,4230,100,208,186,148,100,0,Primary
Pental Quartz,Marfil Polished,BQ8430P,Beach,4230,4230,100,208,186,148,100,0,Primary
